wikipedia_movie_id,movie_box_office_revenue,currency_revenue,budget,currency_budget,opening_weekend,currency_opening_weekend,rating_score,producer,release_year
20472949,7088077.0,$,,,,,5.0,Kim Hae-gon,2008.0
320500,3200241.0,$,150000.0,$,80682.0,$,6.2,Gary Winick,2002.0
9822793,22000000.0,$,3000000.0,$,,,6.9,Michael Winner,1974.0
129602,52096475.0,$,31000000.0,$,417076.0,$,7.8,Penny Marshall,1991.0
6257968,50865589.0,$,,,11115697.0,$,5.7,Lasse Hallström,1995.0
2929705,7201701.0,$,10000000.0,$,3342085.0,$,5.7,Scott Alexander,2000.0
243204,,,17500000.0,$,,,5.3,Tinto Brass,1980.0
633832,13904766.0,$,10000000.0,$,100512.0,$,7.2,Stephen Frears,2003.0
5305513,20240502.0,$,14000000.0,$,5715701.0,$,5.3,Michael Apted,1987.0
2763233,1955933.0,$,2500000.0,$,72056.0,$,6.3,Mark Illsley,1999.0
1232511,16923761.0,$,11000000.0,$,5891176.0,$,5.7,Francine McDougall,2001.0
2311219,130982407.0,$,70000000.0,$,4152260.0,$,7.5,Steven Spielberg,2006.0
1118809,239606210.0,$,14000000.0,$,24462976.0,$,5.7,John Cornell,1988.0
27756613,136567.0,$,,,,,6.3,Mark Rosenthal,1988.0
23135176,104414200.0,$,13000000.0,$,335502.0,$,7.8,Niels Arden Oplev,2010.0
76335,1071.0,$,3750000.0,$,,,7.8,John Ford,1956.0
561315,25637669.0,$,2777000.0,$,5354311.0,$,8.1,Victor Fleming,1939.0
2302751,2707738.0,$,,,54294.0,$,6.2,Todd Graff,2003.0
3096943,3242342.0,$,,,151722.0,$,6.8,Christopher Hampton,1995.0
4694464,309404.0,$,,,66429.0,$,5.8,Craig Chester,2007.0
1751944,23835242.0,$,4200000000.0,₩,9850.0,$,7.5,Park Chan-wook,2005.0
2506848,71646.0,$,,,30120.0,$,6.6,Greg Pritikin,2021.0
16125220,4802953.0,$,20000000.0,$,2251075.0,$,7.0,Marc Abraham,2008.0
897540,19576023.0,$,10000000.0,$,3813463.0,$,6.1,Andrew Niccol,2002.0
26717073,135710029.0,$,30000000.0,$,21856389.0,$,6.8,Jaume Collet-Serra,2011.0
12433713,1733017.0,$,,,776675.0,$,5.9,Ben Bolt,1987.0
18098742,716355.0,$,,,97764.0,$,3.9,William Dear,2008.0
369682,118688756.0,$,4000000.0,$,925087.0,$,7.7,Sofia Coppola,2003.0
26137623,116717.0,$,,,20796.0,$,5.7,Mark Pellington,1997.0
9415710,4064495.0,$,25000000.0,$,2018183.0,$,5.4,Rachel Talalay,1995.0
1056686,,,134000.0,$,,,7.2,Jacques Tourneur,1942.0
32832973,68929150.0,$,40600000.0,$,320690.0,$,6.6,Joe Wright,2012.0
1041202,282175.0,$,6000000.0,$,95875.0,$,5.8,M. Night Shyamalan,1998.0
24771643,20998.0,$,,,5465.0,$,5.9,Colin Gregg,1989.0
979825,4637920.0,$,,,,,7.8,Gabriel Axel,1988.0
11745593,6881566.0,$,8000000.0,€,5701.0,$,7.4,Giuseppe Tornatore,2006.0
18798887,37105289.0,$,,,17381218.0,$,6.0,Tyler Perry,2008.0
18571859,46749646.0,$,16000000.0,$,,,8.1,Lasse Hallström,2010.0
2295405,14821658.0,$,26000000.0,$,97953.0,$,7.5,Todd Field,2007.0
1054845,34337258.0,$,10203000.0,¥,,,6.1,Kunihiko Yuyama,2005.0
30607472,686703.0,$,,,,,7.5,Yang Ik-joon,2009.0
1278961,49334775.0,$,30000000.0,$,30864.0,$,6.7,Terrence Malick,2006.0
887457,95146283.0,$,17000000.0,$,12229529.0,$,5.6,Michael Lehmann,2002.0
2885102,15516.0,$,,,3040.0,$,7.2,Jang Joon-hwan,2003.0
29358654,40366.0,$,,,,,4.5,Selda Çiçek,2009.0
1830725,,,500000.0,£,,,6.5,Rudolph Maté,1962.0
8938294,254773.0,$,,,,,5.8,Héctor Olivera,2004.0
18599377,,,,,,,7.4,Douglas Sirk,1956.0
1358544,,,1400000.0,$,,,6.7,Brian De Palma,1976.0
20370386,2260712.0,$,230000.0,$,10940.0,$,7.0,Nicolas Winding Refn,2009.0
4440277,5901480.0,$,16000000.0,$,2453021.0,$,7.0,Russell Mulcahy,1986.0
4586623,,,65000.0,$,,,5.2,Curtis Harrington,1966.0
8055976,5221281.0,$,,,71421.0,$,5.4,David Frankel,1995.0
4857566,7571115.0,$,,,3316377.0,$,5.1,Todd Holland,1998.0
2522220,9748233.0,$,5000000.0,$,2492618.0,$,7.0,Jack Sholder,1987.0
3978163,130224158.0,$,50000000.0,$,24411322.0,$,5.7,Tom Dey,2006.0
30407971,412174.0,$,,,,,6.8,Hong Sang-soo,2010.0
8929476,,,7000000.0,$,,,7.4,Martin Wood,2008.0
1062036,2136381.0,$,,,48438.0,$,5.5,Paul Aaron,1987.0
26138037,,,,,,,5.7,Robert Dornhelm,1986.0
1044875,91258000.0,$,11000000.0,$,8881035.0,$,6.7,Alan Metter,1986.0
213471,3294092.0,$,,,32779.0,$,8.0,Kar-Wai Wong,1996.0
14170318,,,90000.0,$,,,5.7,William Castle,1958.0
23652051,129190869.0,$,25000000.0,$,300010.0,$,7.8,David O. Russell,2010.0
2032676,9639390.0,$,3000000.0,$,3454776.0,$,6.2,Hype Williams,1998.0
27693775,69721966.0,$,70000000.0,$,17816230.0,$,5.3,Ron Howard,2011.0
6492614,44527234.0,$,1200000.0,$,,,7.6,Gene Saks,1968.0
1102282,33882243.0,$,17500000.0,$,100091.0,$,8.1,Terry George,2005.0
23594997,237382724.0,$,112000000.0,$,6307691.0,$,4.9,Rob Letterman,2010.0
32869134,,,,,,,6.3,Anthony Mann,1956.0
14790659,41624687.0,$,20000000.0,$,8265357.0,$,5.8,Howard Deutch,2008.0
