wikipedia_movie_id,movie_box_office_revenue,budget,opening_weekend,rating_score,producer,release_year
473776,10366360.0,15300000.0,17560.0,6.6,Gérard Krawczyk,2002
476640,9255027.0,,3809248.0,5.3,Tom DeCerchio,1996
479905,2654308.0,,770280.0,6.9,Kelly Makin,1996
483727,,4000000.0,,7.8,Melvin Frank,1956
483745,12952019.0,8000000.0,2557180.0,6.9,Martha Coolidge,1985
484102,14493284.0,,62282.0,7.4,Giuseppe Tornatore,2001
487300,6813882.0,6000000.0,,8.1,Ingmar Bergman,1982
488556,3588626.0,5000000.0,1667036.0,6.1,Mark Goldblatt,1988
489156,25010896.0,10000000.0,230106.0,6.6,Jodie Foster,1991
492540,23278931.0,43000000.0,4810027.0,5.1,Barry Levinson,1992
498181,11560806.0,38000000.0,4438899.0,5.1,Brian Helgeland,2003
499147,,1168000.0,,7.4,Richard Brooks,1955
503562,1228308.0,23000.0,24307.0,7.0,Richard Linklater,1991
507679,90874570.0,80000000.0,2290525.0,7.1,James Algar,2000
518615,52614445.0,24000000.0,7023921.0,6.0,John Guillermin,1976
518687,62.0,200000.0,,6.5,Roger Corman,1963
533515,13086757.0,7000000.0,3451191.0,6.3,Lewis Teague,1985
534778,20560255.0,13000000.0,5718940.0,5.2,Jack Bender,1991
534812,35763605.0,13000000.0,10718520.0,6.0,John Lafia,1990
543276,57041866.0,20000000.0,198361.0,7.0,Garry Marshall,1989
548239,394631.0,,18736.0,7.3,Nancy Savoca,1991
550486,866999.0,4000000.0,126449.0,6.7,Dave McKean,2006
552592,50754850.0,10000000.0,6035133.0,6.6,Stephen Herek,1992
561934,,2200000.0,,6.3,Joshua Logan,1956
563176,12364836.0,,,7.3,François Dupeyron,2004
570428,669.0,422816.0,,5.7,Don Chaffey,1967
572255,,500000.0,,6.9,Phil Karlson,1973
573288,69131860.0,90000000.0,6162640.0,5.8,George Miller,1998
576208,7019441.0,7000000.0,2062120.0,6.4,Bob Giraldi,1987
578001,86572238.0,10000000.0,5105741.0,6.9,Robert Zemeckis,1984
580994,,2670000.0,,7.1,Nunnally Johnson,1956
582398,103303454.0,10000000.0,3966832.0,6.9,Colin Higgins,1980
584713,2275557.0,8000000.0,455192.0,6.1,Mark L. Lester,1991
586740,18344868.0,2000000.0,,7.1,Woody Allen,1973
591310,16324573.0,3500000.0,5028096.0,6.2,John Harrison,1990
595909,6908797.0,15000000.0,1561793.0,6.9,Fred Schepisi,1988
596701,4385516.0,3500000.0,686567.0,6.2,Stan Winston,1989
598868,36231360.0,10000000.0,7283714.0,6.2,George Miller,1985
600216,49101993.0,18000000.0,11101197.0,6.8,Joe Dante,1989
602501,10982364.0,,3862719.0,5.9,Paul Flaherty,1989
602789,,1300000.0,,7.1,Seth Holt,1966
603557,161004.0,8000000.0,,7.3,Kevin Reynolds,1988
605939,3283934.0,1100000000.0,11263.0,8.0,Katsuhiro Ôtomo,1988
606614,540000.0,,265038.0,5.9,David Green,1988
612710,21521.0,,5147.0,5.2,Abel Ferrara,1999
622993,5471088.0,,97851.0,7.4,Gary Sinise,1992
624505,12556.0,,,6.7,Mark Robson,1954
625714,3728888.0,7000000.0,80957.0,6.5,John Swanbeck,2000
629350,,602000.0,,5.4,Ron Howard,1977
633692,51079064.0,6500000.0,,6.9,Arthur Hiller,1976
638459,,6000000.0,,3.7,Dick Powell,1956
639629,21203707.0,,118160.0,6.6,Alan Parker,1980
643850,37553752.0,31000000.0,7231087.0,6.2,David S. Ward,1996
646009,36733909.0,32000000.0,8624292.0,7.1,Frank Marshall,1993
652255,4348572.0,10000000.0,1853647.0,3.8,Michael Gottlieb,1993
652418,18814720.0,,5250704.0,6.2,Sammo Kam-Bo Hung,1998
654742,102992536.0,30000000.0,13832786.0,6.1,John A. Davis,2001
657809,15876353.0,12000000.0,,4.6,Christopher Cain,1994
657824,7266973.0,3200000.0,102820.0,7.0,Whit Stillman,1994
663968,418961.0,1500000.0,30586.0,6.4,Roger Avary,1994
664006,22866222.0,12000000.0,5713708.0,5.7,Sidney Lumet,1993
668614,3566637.0,32000000.0,939781.0,6.9,Mark Dindal,1997
670445,,1000000.0,,6.2,Robert D. Webb,1956
670514,23920048.0,,3210458.0,5.5,Peter Hewitt,1995
675947,13839404.0,,3360705.0,6.7,John Irvin,1987
678603,11604598.0,8500000.0,2830387.0,6.2,Thom Eberhardt,1989
680337,71624879.0,13000000.0,5274306.0,6.9,Jim Abrahams,1986
682280,21591728.0,18000000.0,5023467.0,5.7,Alan J. Pakula,1992
683428,18937262.0,20000000.0,5001588.0,3.1,Paul Michael Glaser,1996
683486,31559552.0,15000000.0,,7.5,Arthur Penn,1970
685721,7888703.0,3000000.0,2709160.0,3.5,Christopher Leitch,1987
