wikipedia_movie_id,freebase_movie_id,movie_name,movie_release_date,movie_box_office_revenue_x,movie_runtime,movie_languages,movie_countries,movie_genres
8078282,/m/026qnh6,Australia,2008.0,211342221.0,165.0,"['Chinese language', 'Japanese Language', 'English Language']","['United States of America', 'Australia', 'New Zealand', 'United Kingdom']","['Adventure', 'History', 'Period piece', 'Epic', 'Western', 'Drama', 'War film', 'Romantic drama', 'Romance Film']"
1854000,/m/061681,The Bourne Ultimatum,2007.0,442824138.0,116.0,"['French Language', 'Arabic Language', 'English Language', 'Russian Language', 'Spanish Language']","['United States of America', 'Germany']","['Thriller', 'Crime Fiction', 'Action/Adventure', 'Mystery', 'Martial Arts Film', 'Drama', 'Film adaptation', 'Action Thrillers', 'Action', 'Spy']"
689969,/m/032_wv,Election,1999.0,14902041.0,103.0,"['English Language', 'Spanish Language']",['United States of America'],"['Indie', 'Satire', 'Drama', 'Comedy', 'Political cinema', 'Black comedy']"
859101,/m/03hzgd,Boris and Natasha: The Movie,1992.0,294205.0,88.0,['English Language'],['United States of America'],"['Action/Adventure', 'Action', 'Adventure Comedy', 'Comedy', 'Spy']"
586740,/m/02srl9,Sleeper,1973.0,18344729.0,87.0,"['Yiddish Language', 'English Language']",['United States of America'],"['Parody', 'Science Fiction', 'Indie', 'Satire', 'Comedy', 'Dystopia', 'Slapstick']"
33580822,/m/0h91r63,The Wings of the Kirin,2012.0,19773978.0,129.0,['Japanese Language'],['Japan'],['Drama']
15122431,/m/03hj5wg,Used People,1992.0,17957265.0,113.0,['English Language'],['United States of America'],"['Romantic comedy', 'Ensemble Film', 'Comedy-drama', 'Period piece', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film', 'Domestic Comedy']"
7846363,/m/026g1hd,Miss Firecracker,1989.0,1852655.0,102.0,['English Language'],['United States of America'],"['Domestic Comedy', 'Americana', 'Comedy-drama', 'Indie', 'Comedy']"
45568,/m/0ccsq,The Abyss,1989.0,90000098.0,145.0,['English Language'],['United States of America'],"['Thriller', 'Science Fiction', 'Drama']"
8138535,/m/026s_ky,Barefoot in the Park,1967.0,19994515.0,105.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy']"
34953010,/m/0j43swk,Zero Dark Thirty,2012.0,95720716.0,93.0,['English Language'],['United States of America'],"['Thriller', 'Action', 'Drama']"
161460,/m/015db1,Lust for Life,1956.0,1600000.0,122.0,['English Language'],['United States of America'],"['Period piece', 'Biography', 'Drama', 'Biopic [feature]']"
24105751,/m/07k88kp,The Eagle of the Ninth,2011.0,27122040.0,114.0,"['Scottish Gaelic language', 'Gaelic', 'English Language']","['United States of America', 'United Kingdom']","['Thriller', 'Adventure', 'Costume Adventure', 'Action/Adventure', 'Period piece', 'Drama', 'Film adaptation', 'Historical Epic', 'Action']"
213224,/m/01f7b2,Shadow of the Vampire,2000.0,11155214.0,93.0,"['English Language', 'German Language', 'Luxembourgish language']","['United States of America', 'Luxembourg', 'United Kingdom']","['Horror', 'Indie', 'Gothic Film', 'Period piece', 'Drama', 'Costume Horror']"
11862690,/m/02rv_dz,Juno,2007.0,231411584.0,91.0,['English Language'],"['United States of America', 'Canada']","['Ensemble Film', 'Indie', 'Comedy-drama', 'Coming of age', 'Comedy', 'Drama', 'Romance Film', 'Domestic Comedy', 'Teen']"
922077,/m/03q5bh,His Majesty O'Keefe,1954.0,2500000.0,90.0,['English Language'],['United States of America'],"['Adventure', 'Docudrama', 'Action/Adventure', 'Period piece', 'Drama', 'Film adaptation', 'Action']"
18153153,/m/057xrx9,Middle Men,2009.0,754301.0,105.0,['English Language'],['United States of America'],"['Crime Fiction', 'Gangster Film', 'Indie', 'Period piece', 'Drama', 'Comedy', 'Biopic [feature]', 'Black comedy']"
4409112,/m/0c0q7x,Quinceañera,2006.0,1692693.0,90.0,"['English Language', 'Spanish Language']",['United States of America'],"['LGBT', 'Drama', 'Indie']"
9144986,/m/027z9m0,The Lusty Men,1952.0,1500000.0,113.0,['English Language'],['United States of America'],"['Western', 'Action', 'Drama', 'Film noir', 'Black-and-white']"
3608326,/m/09pn9f,National Lampoon Presents Dorm Daze,2003.0,56127.0,100.0,['English Language'],['United States of America'],"['Crime Fiction', 'Mystery', 'Comedy']"
2280353,/m/070hnk,Cemetery Man,1994.0,253969.0,99.0,"['Italian Language', 'English Language']","['France', 'Italy', 'Germany']","['Cult', 'Black comedy', 'Horror', 'Comedy', 'Zombie Film']"
24500960,/m/0bmgxkl,Holy Rollers,2010.0,302886.0,89.0,['English Language'],['United States of America'],"['Crime Fiction', 'Historical fiction', 'Crime Drama', 'News', 'Drama', 'Crime Thriller', 'Biographical film', 'Juvenile Delinquency Film']"
1267905,/m/04np99,Conquest of Space,1955.0,1000000.0,81.0,['English Language'],['United States of America'],"['Science Fiction', 'Drama', 'Adventure']"
4899791,/m/0ct5zc,Carrie,1976.0,33800000.0,97.0,['English Language'],['United States of America'],"['Drama', 'Horror']"
10215404,/m/02q5g1z,Revolutionary Road,2008.0,75226021.0,121.0,['English Language'],"['United States of America', 'United Kingdom']","['Tragedy', 'Period piece', 'Marriage Drama', 'Drama', 'Film adaptation', 'Romantic drama', 'Romance Film']"
6856839,/m/0gsvp5,Joe Gould's Secret,2000.0,468684.0,110.0,['English Language'],['United States of America'],"['Biography', 'Buddy film', 'Comedy-drama', 'Period piece', 'Drama', 'Biopic [feature]']"
5585875,/m/0dtw1x,The Aristocrats,2005.0,6377277.0,89.0,['English Language'],['United States of America'],"['Culture & Society', 'Comedy', 'Stand-up comedy', 'Documentary']"
24380314,/m/07s8yvl,Mac,1992.0,471120.0,117.0,"['Polish Language', 'Italian Language', 'English Language']",['United States of America'],"['Period piece', 'Drama', 'Indie']"
24507147,/m/080jk3g,Blowing Wild,1953.0,2000000.0,90.0,['English Language'],['United States of America'],"['Romance Film', 'Drama']"
17298868,/m/043n0v_,Ip Man,2008.0,21888598.0,107.0,"['Japanese Language', 'Standard Cantonese', 'Standard Mandarin', 'Cantonese']","['Hong Kong', 'China']","['Biography', 'World cinema', 'History', 'Historical fiction', 'Action/Adventure', 'Period piece', 'Martial Arts Film', 'Drama', 'Biopic [feature]', 'Biographical film', 'Action', 'Chinese Movies']"
25450621,/m/07l4_1l,I Am Love,2010.0,11568202.0,114.0,"['Italian Language', 'Russian Language', 'English Language']",['Italy'],"['Ensemble Film', 'World cinema', 'Family Drama', 'Drama', 'Romantic drama', 'Romance Film']"
